,timestamp,T1,T1_Rad,Toutdoor,CoolingPower,HeatingPower,FanPower,PumpPower,TotalHVACPower,TotalHVACEnergy,HeatingSetpoint,CoolingSetpoint,FanControlInput,u_CoolingSetpoint,u_HeatingSetpoint,u_FanOverride,PMV,PPD,Reward
2019-01-01 00:00:00,2019-01-01 00:00:00,22.790853465311727,20.44245094354943,9.480000000000018,0.0,0.0,95.37945180053241,0.0,95.37945180053241,1188886.763703187,22.0,23.0,0.5308033153590752,25.0,21.0,0.5308033153590752,0.0,0.0,-0.09537945180053241
2019-01-01 00:05:00,2019-01-01 00:05:00,21.907262760916296,20.8239581299041,9.430000000000007,0.0,2622.87140842798,158.65397543407605,0.0,2781.525383862056,1510453.974711919,22.0,23.0,0.6289252132842305,25.0,21.0,0.6289252132842305,0.0,0.0,-2.781525383862056
2019-01-01 00:10:00,2019-01-01 00:10:00,21.960278657020694,21.065673883032844,9.374461403508747,0.0,1123.4319226470247,115.85271532346738,0.0,1239.2846379704922,1866950.1810078698,22.0,23.0,0.566348939760768,25.0,21.0,0.566348939760768,0.0,0.0,-1.2392846379704923
2019-01-01 00:15:00,2019-01-01 00:15:00,21.958063756441675,21.215201854957513,9.265537061403506,0.0,1186.075575386977,80.92945627566024,0.0,1267.0050316626373,2265600.982937157,22.0,23.0,0.5025171565014124,25.0,21.0,0.5025171565014124,0.0,0.0,-1.2670050316626373
2019-01-01 00:20:00,2019-01-01 00:20:00,21.959674718287545,21.288363394305122,9.100505263157913,0.0,1140.5130181300492,21.679353128647712,0.0,1162.192371258697,2563979.7864064733,22.0,23.0,0.3239396629302984,25.0,21.0,0.3239396629302984,0.0,0.0,-1.162192371258697
2019-01-01 00:25:00,2019-01-01 00:25:00,21.82860940137715,21.286126056163425,8.889727850877193,0.0,4847.410870141203,131.7744666952651,0.0,4979.185336836468,3676636.8505309094,22.0,23.0,0.5911882247213518,25.0,21.0,0.5911882247213518,0.0,0.0,-4.979185336836468
2019-01-01 00:30:00,2019-01-01 00:30:00,21.846516715728512,21.240040113197608,8.643566666666686,0.0,4340.941373335007,168.84777477084947,0.0,4509.789148105856,5039538.080001284,22.0,23.0,0.6421164558434432,25.0,21.0,0.6421164558434432,0.0,0.0,-4.509789148105856
2019-01-01 00:35:00,2019-01-01 00:35:00,21.868496626256103,21.167706425070662,8.372383552631561,0.0,3719.2873382112184,103.48283074906053,0.0,3822.770168960279,6236473.416848445,22.0,23.0,0.5454288671715831,25.0,21.0,0.5454288671715831,0.0,0.0,-3.822770168960279
2019-01-01 00:40:00,2019-01-01 00:40:00,21.92195066434988,21.08770385112473,8.086540350877215,0.0,2207.455957781202,29.334649205647242,0.0,2236.790606986849,6674532.580090276,22.0,23.0,0.3582962965165373,25.0,21.0,0.3582962965165373,0.0,0.0,-2.2367906069868493
2019-01-01 00:45:00,2019-01-01 00:45:00,21.96243875793118,21.003708978200564,7.796398903508759,0.0,1062.3381595221394,29.78433994863377,0.0,1092.1224994707732,7041651.686211139,22.0,23.0,0.3601178755956568,25.0,21.0,0.3601178755956568,0.0,0.0,-1.0921224994707732
2019-01-01 00:50:00,2019-01-01 00:50:00,21.928089407544576,20.914508829013926,7.5123210526315916,0.0,2033.8349381332096,157.7783267226335,0.0,2191.613264855843,7518982.535120122,22.0,23.0,0.6277660158352918,25.0,21.0,0.6277660158352918,0.0,0.0,-2.1916132648558433
