,timestamp,T1,T1_Rad,Toutdoor,CoolingPower,HeatingPower,FanPower,PumpPower,TotalHVACPower,TotalHVACEnergy,HeatingSetpoint,CoolingSetpoint,FanControlInput,u_CoolingSetpoint,u_HeatingSetpoint,u_FanOverride,PMV,PPD,Reward
2019-01-02 00:00:00,2019-01-02 00:00:00,21.40138277059475,19.3541348909406,0.0,0.0,0.0,5.231953892668184,0.0,5.231953892668184,1594556.4188195108,21.0,25.0,0.2,25.0,21.0,0.2,0.0,0.0,-0.005231953892668183
2019-01-02 00:05:00,2019-01-02 00:05:00,19.8238325898879,19.257980841308495,0.0,0.0,7070.707070707072,0.0,0.0,7070.707070707072,3124394.9950203826,21.0,25.0,0.0,25.0,21.0,0.0,0.0,0.0,-7.070707070707072
2019-01-02 00:10:00,2019-01-02 00:10:00,24.164070600784896,19.42028589830136,0.0,0.0,0.0,58.11543367346943,0.0,58.11543367346943,3281624.6358493133,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-0.058115433673469434
2019-01-02 00:15:00,2019-01-02 00:15:00,20.50859478852726,19.30764231837452,0.0,0.0,7070.707070707072,58.11543367346943,0.0,7128.822504380541,3568598.944657033,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-7.128822504380541
2019-01-02 00:20:00,2019-01-02 00:20:00,20.771012281279184,19.10145670754349,0.0,0.0,6476.420327457429,58.11543367346943,0.0,6534.535761130899,4868377.203693971,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-6.534535761130899
2019-01-02 00:25:00,2019-01-02 00:25:00,20.882946974110382,18.912963273162347,0.0,0.0,3310.590631221515,58.11543367346943,0.0,3368.7060648949846,6090989.111850424,21.0,25.0,0.45,25.0,21.0,0.45,0.0,0.0,-3.3687060648949845
2019-01-02 00:30:00,2019-01-02 00:30:00,20.918026666509775,18.7362657150465,0.0,0.0,2318.4377148750586,43.85367659751414,0.0,2362.2913914725727,6846043.130355429,21.0,25.0,0.4096855906136625,25.0,21.0,0.4096855906136625,0.0,0.0,-2.362291391472573
2019-01-02 00:35:00,2019-01-02 00:35:00,20.8988786488473,18.56827918542791,0.0,0.0,2859.997810379364,15.0624123825466,0.0,2875.0602227619106,7568953.170232619,21.0,25.0,0.2869066672157885,25.0,21.0,0.2869066672157885,0.0,0.0,-2.8750602227619106
2019-01-02 00:40:00,2019-01-02 00:40:00,20.92925846518159,18.410235289012007,0.0,0.0,2000.7706817328067,28.273961765056345,0.0,2029.044643497863,8252884.7322221985,21.0,25.0,0.3539247290344463,25.0,21.0,0.3539247290344463,0.0,0.0,-2.029044643497863
2019-01-02 00:45:00,2019-01-02 00:45:00,20.911249297708935,18.263134623189558,0.0,0.0,2510.120872878618,9.710031041884351,0.0,2519.8309039205024,8982044.533016091,21.0,25.0,0.2475953718644348,25.0,21.0,0.2475953718644348,0.0,0.0,-2.5198309039205022
