,timestamp,T1,Toutdoor,CoolingPower,HeatingPower,FanPower,PumpPower,TotalHVACPower,TotalHVACEnergy,HeatingSetpoint,CoolingSetpoint,FanControlInput,u_CoolingSetpoint,u_HeatingSetpoint,u_FanOverride,PMV,PPD,Reward
2019-01-02 00:00:00,2019-01-02 00:00:00,21.34233381326345,-4.4490761584094685,0.0,7070.707070707072,5.231953892668184,0.0,7075.93902459974,2122781.7073798524,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-7.07593902459974
2019-01-02 00:05:00,2019-01-02 00:05:00,22.583200429795625,-4.563079685746345,0.0,0.0,5.231953892668184,0.0,5.231953892668184,2486711.3588557327,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-0.005231953892668183
2019-01-02 00:10:00,2019-01-02 00:10:00,21.795772029691136,-4.666597402597404,0.0,5776.14461479615,5.231953892668184,0.0,5781.376568688818,3222349.1164328437,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-5.7813765686888186
2019-01-02 00:15:00,2019-01-02 00:15:00,21.821660600375367,-4.762034311367643,0.0,5043.942615646191,5.231953892668184,0.0,5049.17456953886,3966364.911017836,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-5.04917456953886
2019-01-02 00:20:00,2019-01-02 00:20:00,21.859244114617468,-4.85179541446206,0.0,3980.9745360716165,5.231953892668184,0.0,3986.2064899642846,4854699.859121367,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-3.986206489964285
2019-01-02 00:25:00,2019-01-02 00:25:00,21.876138725439716,-4.938285714285712,0.0,3503.147159280749,5.231953892668184,0.0,3508.379113173417,5788354.600105789,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-3.508379113173417
2019-01-02 00:30:00,2019-01-02 00:30:00,21.904010326270225,-5.023910213243539,0.0,2714.859459023951,5.231953892668184,0.0,2720.091412916619,6625202.205445995,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-2.720091412916619
2019-01-02 00:35:00,2019-01-02 00:35:00,21.90385801633755,-5.111073913740597,0.0,2719.167214695517,5.231953892668184,0.0,2724.399168588185,7455868.930883408,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-2.724399168588185
2019-01-02 00:40:00,2019-01-02 00:40:00,21.901534006097506,-5.202181818181828,0.0,2784.896797242245,5.231953892668184,0.0,2790.1287511349133,8299216.722753282,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-2.790128751134913
2019-01-02 00:45:00,2019-01-02 00:45:00,21.898998737838042,-5.299638928972286,0.0,2856.601354075581,5.231953892668184,0.0,2861.8333079682493,9158012.599957429,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-2.8618333079682494
2019-01-02 00:50:00,2019-01-02 00:50:00,21.89661746487127,-5.405850248516913,0.0,2923.950488489348,5.231953892668184,0.0,2929.1824423820162,10032811.678542713,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-2.9291824423820163
