,timestamp,T1,Toutdoor,CoolingPower,HeatingPower,FanPower,PumpPower,TotalHVACEnergy,HeatingSetpoint,CoolingSetpoint,FanControlInput,u_CoolingSetpoint,u_HeatingSetpoint,u_FanOverride,PMV,PPD
2019-01-01 00:00:00,2019-01-01 00:00:00,22.90412061533982,9.480000000000018,0.0,0.0,33.57213895469251,0.0,1326841.6063111636,22.0,23.0,0.37477880616112946,25.0,21.0,0.37477880616112946,0.0,0.0
2019-01-01 00:05:00,2019-01-01 00:05:00,21.92051578473115,9.430000000000007,0.0,2248.03841164421,62.668222264972485,0.0,1432510.235704071,22.0,23.0,0.46145690026551905,25.0,21.0,0.46145690026551905,0.0,0.0
2019-01-01 00:10:00,2019-01-01 00:10:00,21.95316490198286,9.374461403508747,0.0,1324.629034828225,51.5611953227567,0.0,1870365.702649311,22.0,23.0,0.43240397572594685,25.0,21.0,0.43240397572594685,0.0,0.0
2019-01-01 00:15:00,2019-01-01 00:15:00,21.82698870362117,9.265537061403506,0.0,4893.248786472002,137.29066802240055,0.0,2988395.4272123333,22.0,23.0,0.5993249514107974,25.0,21.0,0.5993249514107974,0.0,0.0
2019-01-01 00:20:00,2019-01-01 00:20:00,21.893990137837307,9.100505263157913,0.0,2998.258727833755,24.25567132342205,0.0,3826467.082308034,22.0,23.0,0.3362945164155242,25.0,21.0,0.3362945164155242,0.0,0.0
2019-01-01 00:25:00,2019-01-01 00:25:00,21.866278544386944,8.889727850877193,0.0,3782.0209668339116,85.4811472727443,0.0,4852611.671515206,22.0,23.0,0.5117668297151002,25.0,21.0,0.5117668297151002,0.0,0.0
2019-01-01 00:30:00,2019-01-01 00:30:00,21.932964905291215,8.643566666666686,0.0,1895.9420725717093,22.486735176298385,0.0,5213080.0413966365,22.0,23.0,0.32791213427106286,25.0,21.0,0.32791213427106286,0.0,0.0
2019-01-01 00:35:00,2019-01-01 00:35:00,21.95075696545166,8.372383552631561,0.0,1392.732290256078,9.450586184284038,0.0,5517121.038105135,22.0,23.0,0.24533416886628592,25.0,21.0,0.24533416886628592,0.0,0.0
2019-01-01 00:40:00,2019-01-01 00:40:00,21.930462050487677,8.086540350877215,0.0,1966.7298851970254,263.8854686817164,0.0,6037475.896102278,22.0,23.0,0.74516739621951,25.0,21.0,0.74516739621951,0.0,0.0
2019-01-01 00:45:00,2019-01-01 00:45:00,21.95038074229683,7.796398903508759,0.0,1403.3729451401805,116.19399356873826,0.0,6537047.915414653,22.0,23.0,0.5669045103735816,25.0,21.0,0.5669045103735816,0.0,0.0
2019-01-01 00:50:00,2019-01-01 00:50:00,21.932823010344293,7.5123210526315916,0.0,1899.9552629896823,303.6194585593843,0.0,7157902.287871766,22.0,23.0,0.7808337080757207,25.0,21.0,0.7808337080757207,0.0,0.0
2019-01-01 00:55:00,2019-01-01 00:55:00,21.941230825266473,7.244668640350881,0.0,1662.1584773118764,37.43255328321029,0.0,7628736.949085642,22.0,23.0,0.3886259857138809,25.0,21.0,0.3886259857138809,0.0,0.0
2019-01-01 01:00:00,2019-01-01 01:00:00,21.951348644951224,7.0038035087719095,0.0,1375.9979205714344,22.492240262625035,0.0,8025648.726371376,22.0,23.0,0.32793889133918336,25.0,21.0,0.32793889133918336,0.0,0.0
2019-01-01 01:05:00,2019-01-01 01:05:00,21.82127079823931,6.800087500000018,0.0,5054.967322524531,117.80961314154646,0.0,9172792.33514901,22.0,23.0,0.5695199337476302,25.0,21.0,0.5695199337476302,0.0,0.0
2019-01-01 01:10:00,2019-01-01 01:10:00,21.835726920315437,6.641806627680296,0.0,4646.107304209852,167.63941847829298,0.0,10613399.0309759,22.0,23.0,0.6405810219821404,25.0,21.0,0.6405810219821404,0.0,0.0
2019-01-01 01:15:00,2019-01-01 01:15:00,21.870226959052218,6.5151126705653155,0.0,3670.348632866567,78.5990428690465,0.0,11828606.558946176,22.0,23.0,0.49764667337658264,25.0,21.0,0.49764667337658264,0.0,0.0
2019-01-01 01:20:00,2019-01-01 01:20:00,21.928020984404213,6.411284210526333,0.0,2035.7701380626536,222.1436477126505,0.0,12547900.061940273,22.0,23.0,0.7036013311395314,25.0,21.0,0.7036013311395314,0.0,0.0
2019-01-01 01:25:00,2019-01-01 01:25:00,21.97984981031277,6.325350487329445,0.0,569.9043547903068,8.172234540145288,0.0,13047524.100237083,22.0,23.0,0.2334936324266838,25.0,21.0,0.2334936324266838,0.0,0.0
2019-01-01 01:30:00,2019-01-01 01:30:00,21.955943979993947,6.252340740740749,0.0,1246.0288486560482,9.57831860010908,0.0,13481199.251123639,22.0,23.0,0.246452878225093,25.0,21.0,0.246452878225093,0.0,0.0
2019-01-01 01:35:00,2019-01-01 01:35:00,22.039812850250144,6.187284210526343,0.0,0.0,1.6464401179997186,0.0,14163978.987822663,22.0,23.0,0.1297742879207164,25.0,21.0,0.1297742879207164,0.0,0.0
2019-01-01 01:40:00,2019-01-01 01:40:00,21.805590180870297,6.125210136452267,0.0,5498.459530941095,156.20648133872325,0.0,15300814.748546183,22.0,23.0,0.6256743762889276,25.0,21.0,0.6256743762889276,0.0,0.0
2019-01-01 01:45:00,2019-01-01 01:45:00,21.855011230743173,6.061147758284619,0.0,4100.692463829445,91.93671408878895,0.0,16479403.251917386,22.0,23.0,0.5243384170714263,25.0,21.0,0.5243384170714263,0.0,0.0
2019-01-01 01:50:00,2019-01-01 01:50:00,21.94739455459768,5.990126315789496,0.0,1487.8307790555446,37.20580471015374,0.0,17508429.65027799,22.0,23.0,0.38783969221952475,25.0,21.0,0.38783969221952475,0.0,0.0
