,timestamp,T1,T1_Rad,Toutdoor,CoolingPower,HeatingPower,FanPower,PumpPower,TotalHVACPower,TotalHVACEnergy,HeatingSetpoint,CoolingSetpoint,FanControlInput,u_CoolingSetpoint,u_HeatingSetpoint,u_FanOverride,PMV,PPD,Reward
2019-01-02 00:00:00,2019-01-02 00:00:00,21.34233381326345,19.17908441303831,-4.4490761584094685,0.0,7070.707070707072,5.231953892668184,0.0,7075.93902459974,2122781.7073798524,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-7.07593902459974
2019-01-02 00:05:00,2019-01-02 00:05:00,22.583200429795625,19.19640509259972,-4.563079685746345,0.0,0.0,5.231953892668184,0.0,5.231953892668184,2486711.3588557327,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-0.005231953892668183
2019-01-02 00:10:00,2019-01-02 00:10:00,21.795772029691136,19.09835507913641,-4.666597402597404,0.0,5776.14461479615,5.231953892668184,0.0,5781.376568688818,3222349.1164328437,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-5.7813765686888186
2019-01-02 00:15:00,2019-01-02 00:15:00,21.821660600375367,18.963194512141,-4.762034311367643,0.0,5043.942615646191,5.231953892668184,0.0,5049.17456953886,3966364.911017836,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-5.04917456953886
2019-01-02 00:20:00,2019-01-02 00:20:00,21.859244114617468,18.8114684692805,-4.85179541446206,0.0,3980.9745360716165,5.231953892668184,0.0,3986.2064899642846,4854699.859121367,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-3.986206489964285
2019-01-02 00:25:00,2019-01-02 00:25:00,21.876138725439716,18.65496579511654,-4.938285714285712,0.0,3503.147159280749,5.231953892668184,0.0,3508.379113173417,5788354.600105789,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-3.508379113173417
2019-01-02 00:30:00,2019-01-02 00:30:00,21.904010326270225,18.502031529483986,-5.023910213243539,0.0,2714.859459023951,5.231953892668184,0.0,2720.091412916619,6625202.205445995,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-2.720091412916619
2019-01-02 00:35:00,2019-01-02 00:35:00,21.90385801633755,18.354599899011703,-5.111073913740597,0.0,2719.167214695517,5.231953892668184,0.0,2724.399168588185,7455868.930883408,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-2.724399168588185
2019-01-02 00:40:00,2019-01-02 00:40:00,21.901534006097506,18.21486227136046,-5.202181818181828,0.0,2784.896797242245,5.231953892668184,0.0,2790.1287511349133,8299216.722753282,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-2.790128751134913
2019-01-02 00:45:00,2019-01-02 00:45:00,21.898998737838042,18.083590782956605,-5.299638928972286,0.0,2856.601354075581,5.231953892668184,0.0,2861.8333079682493,9158012.599957429,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-2.8618333079682494
2019-01-02 00:50:00,2019-01-02 00:50:00,21.89661746487127,17.96085669287237,-5.405850248516913,0.0,2923.950488489348,5.231953892668184,0.0,2929.1824423820162,10032811.678542713,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-2.9291824423820163
2019-01-02 00:55:00,2019-01-02 00:55:00,21.894443031611445,17.846322921551177,-5.523220779220765,0.0,2985.4496109894376,5.231953892668184,0.0,2990.6815648821057,10923447.535099195,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-2.990681564882106
2019-01-02 01:00:00,2019-01-02 01:00:00,21.89250176153041,17.7394141941283,-5.6529289281705815,0.0,3040.3542193419003,5.231953892668184,0.0,3045.5861732345684,11829522.66948647,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-3.0455861732345686
2019-01-02 01:05:00,2019-01-02 01:05:00,21.89077909607869,17.63954130672232,-5.7852626648428895,0.0,3089.0760705017447,5.231953892668184,0.0,3094.3080243944128,12750430.565335978,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-3.0943080243944125
2019-01-02 01:10:00,2019-01-02 01:10:00,21.88918374653997,17.54614143527766,-5.917648484848485,0.0,3134.1970675563944,5.231953892668184,0.0,3139.4290214490625,13685358.744945414,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-3.1394290214490623
2019-01-02 01:15:00,2019-01-02 01:15:00,21.887676296174504,17.458645927316297,-6.050131106200922,0.0,3176.832027387755,5.231953892668184,0.0,3182.063981280423,14633564.081035575,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-3.182063981280423
2019-01-02 01:20:00,2019-01-02 01:20:00,21.886231967116146,17.376512317205027,-6.182755246913587,0.0,3217.6817381292094,5.231953892668184,0.0,3222.9136920218775,15594395.663287666,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-3.2229136920218777
2019-01-02 01:25:00,2019-01-02 01:25:00,21.884844543997474,17.299241181671164,-6.3155656249999765,0.0,3256.921987950233,5.231953892668184,0.0,3262.153941842901,16567245.797211096,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-3.262153941842901
2019-01-02 01:30:00,2019-01-02 01:30:00,21.883518991396443,17.226368701164404,-6.448606958473647,0.0,3294.412364545054,5.231953892668184,0.0,3299.644318437722,17551586.12998195,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-3.299644318437722
2019-01-02 01:35:00,2019-01-02 01:35:00,21.882247664479564,17.157476070526798,-6.581923965347926,0.0,3330.3690854264655,5.231953892668184,0.0,3335.6010393191336,18546939.704712372,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-3.3356010393191338
2019-01-02 01:40:00,2019-01-02 01:40:00,21.881024401970762,17.09219560365682,-6.715561363636368,0.0,3364.966408907728,5.231953892668184,0.0,3370.198362800396,19552876.76902832,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-3.3701983628003958
2019-01-02 01:45:00,2019-01-02 01:45:00,21.87984495517344,17.030200043588422,-6.849563871352416,0.0,3398.3245001451514,5.231953892668184,0.0,3403.5564540378195,20569003.818643775,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-3.4035564540378194
2019-01-02 01:50:00,2019-01-02 01:50:00,21.878705729265675,16.9712026319026,-6.983976206509567,0.0,3430.545030869785,5.231953892668184,0.0,3435.776984762453,21594962.7663378,22.0,23.0,0.2,25.0,21.0,0.2,0.0,0.0,-3.435776984762453
