,timestamp,T1,T2,T3,T4,T5,RadTemp1,RadTemp2,RadTemp3,RadTemp4,RadTemp5,u1,u2,u3,u4,u5,ZN1_Cooling_Rate,ZN2_Cooling_Rate,ZN3_Cooling_Rate,ZN4_Cooling_Rate,ZN5_Cooling_Rate,ZN1_Heating_Rate,ZN2_Heating_Rate,ZN3_Heating_Rate,ZN4_Heating_Rate,ZN5_Heating_Rate,vdot1,vdot2,vdot3,vdot4,vdot5,Tsetpoint_cooling,Tsetpoint_heating
0,02/06/2019 09:00:00,19.27409521840089,16.68863649036906,17.78015083817024,16.33154202699732,16.00505646234483,17.90030924167691,16.19353424450097,16.8998774137502,15.38329746057107,15.09968463208079,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,25,21
1,02/06/2019 09:01:00,19.2847153177713,16.72237703351399,17.80497429660478,16.34290133796725,16.01637932052172,17.91003264645566,16.22652962020719,16.92330932846648,15.39458455351932,15.11138322063759,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,25,21
2,02/06/2019 09:02:00,19.00954285245776,16.34287174831361,17.34752834996801,15.98580011881402,15.48818456990069,17.91971069427106,16.25905283382588,16.94661483459733,15.40584933053826,15.12307721111164,1,1,1,1,1,5098.90751466145,5683.280069000965,3938.549613159661,5050.971434009303,4408.753323227992,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,25,21
3,02/06/2019 09:03:00,19.03274900914952,16.58939039013511,17.56223230795282,16.21141390725946,15.66963958471763,17.90187119956127,16.24366825138454,16.9153032707515,15.37690616819011,15.07792357391497,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,2912.800282477011,5849.493393346744,3545.970550910405,5571.254315521727,3668.287133211365,1,1,1,1,1,25,21
4,02/06/2019 09:04:00,19.28133022113637,17.25326933812708,18.22892002437334,16.82408721822658,16.33912345657333,17.91012199800304,16.29710208858034,16.95537281099548,15.40844532646304,15.10260332588201,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,2885.554703341577,5754.850039630124,3465.67491903189,5487.973210422881,3567.668905801238,1,1,1,1,1,25,21
5,02/06/2019 09:05:00,19.59426205704128,18.00019444278199,18.98756486923177,17.51590562489172,17.11752958254381,17.94043320604825,16.40344768124252,17.04957396519626,15.48506597969982,15.18236560054163,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,2861.70728727917,5702.471737482884,3429.120867461248,5440.10030824077,3524.766170211659,1,1,1,1,1,25,21
6,02/06/2019 09:06:00,19.88245433088122,18.65809515141991,19.65486754563051,18.13010615492332,17.80971515014521,17.98152972489979,16.52969420141488,17.16183788220883,15.57131054622168,15.27972275081457,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,2844.360666621392,5679.485955107035,3419.589678007686,5417.097592732074,3516.464595877481,1,1,1,1,1,25,21
7,02/06/2019 09:07:00,20.12221563140029,19.19153533628863,20.19218497488101,18.62936735122375,18.36828554712409,18.02505532154629,16.65499385187421,17.26589981510645,15.66286848179635,15.37671062612789,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,2831.947595488704,5668.706151585266,3419.565449627455,5405.615264376238,3520.44199882696,1,1,1,1,1,25,21
8,02/06/2019 09:08:00,20.31859468693879,19.62268693380921,20.61826834975109,19.02859877305072,18.81061446355626,18.06639308225062,16.76670022388315,17.36473527748133,15.75035326875832,15.47087285128694,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,2822.595595381746,5660.734842738095,3420.926288000194,5398.003544925136,3525.601582413583,1,1,1,1,1,25,21
9,02/06/2019 09:09:00,20.48221999320656,19.97780437982607,20.96148968789643,19.35220783940607,19.16593357626266,18.10481096139033,16.86606646473659,17.45648824094139,15.83075661302545,15.55755301261797,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,2815.202352832529,5653.475175077443,3421.442834937988,5391.612217791364,3529.015908317567,1,1,1,1,1,25,21
10,02/06/2019 09:10:00,20.62129937906565,20.27564862639902,20.99940839960045,19.61926156159762,19.45694157563213,18.14069005535153,16.96071031207284,17.54119521847139,15.90442110377785,15.63689285177611,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,2809.26450062342,5646.894671191729,1403.393353595619,5386.028204654167,3530.963331631365,1,1,1,1,1,25,21
11,02/06/2019 09:11:00,20.74100164831901,20.52836344967204,21.00026398778038,19.84239705917422,19.6984916099967,18.17451923307759,17.05038006723872,17.5883874986496,15.9723001252183,15.70990751191177,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,2804.543332662513,5641.221024531875,2422.743962478271,5381.353044282003,3532.204718629682,1,1,1,1,1,25,21
12,02/06/2019 09:12:00,20.84469823268364,20.74440929134365,21.00024695363864,20.03024135903332,19.90059355781631,18.20675530451137,17.13577473106868,17.62822932186565,16.03543377373895,15.77774008149273,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,2800.873586717918,5636.482332416806,2132.673062555634,5377.606730589812,3533.18082455177,1,1,1,1,1,25,21
13,02/06/2019 09:13:00,20.93513982446973,20.93090167357553,21.00023575406683,20.18979841232583,20.07129048160492,18.24040323034911,17.22267437683496,17.66955776078342,16.09962114062976,15.8465914124408,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,2798.076720127259,5632.455384903149,2043.192234744163,5374.593489799343,3533.933799114913,1,1,1,1,1,25,21
