Time,CORE_ZN ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:01:00,1.078600E+03,2.492802E+03,3.661303E-02,2.197971E-01,3.492732E+03,1.990598E+03,1.185588E-01,1.755183E-01,2.125666E+03,1.206086E+03,7.215441E-02,1.063452E-01,3.251715E+03,1.973696E+03,1.103776E-01,1.740280E-01,2.148185E+03,1.321654E+03,7.291880E-02,1.165352E-01
00:02:00,1.078600E+03,2.492173E+03,3.661303E-02,2.197417E-01,3.492732E+03,1.989163E+03,1.185588E-01,1.753917E-01,2.125667E+03,1.205166E+03,7.215441E-02,1.062640E-01,3.251716E+03,1.972307E+03,1.103776E-01,1.739056E-01,2.148186E+03,1.320252E+03,7.291881E-02,1.164116E-01
00:03:00,1.078601E+03,2.491547E+03,3.661303E-02,2.196864E-01,3.492732E+03,1.987731E+03,1.185588E-01,1.752655E-01,2.125667E+03,1.204249E+03,7.215442E-02,1.061831E-01,3.251716E+03,1.970924E+03,1.103776E-01,1.737836E-01,2.148186E+03,1.318856E+03,7.291881E-02,1.162885E-01
00:04:00,1.078601E+03,2.490922E+03,3.661304E-02,2.196314E-01,3.492733E+03,1.986304E+03,1.185588E-01,1.751397E-01,2.125667E+03,1.203334E+03,7.215442E-02,1.061025E-01,3.251716E+03,1.969545E+03,1.103776E-01,1.736620E-01,2.148186E+03,1.317466E+03,7.291882E-02,1.161659E-01
00:05:00,1.078601E+03,2.490299E+03,3.661304E-02,2.195765E-01,3.492733E+03,1.984882E+03,1.185588E-01,1.750143E-01,2.125667E+03,1.202422E+03,7.215443E-02,1.060221E-01,3.251716E+03,1.968171E+03,1.103777E-01,1.735408E-01,2.148186E+03,1.316082E+03,7.291882E-02,1.160439E-01
00:06:00,1.078601E+03,2.489679E+03,3.661304E-02,2.195218E-01,3.492733E+03,1.983463E+03,1.185588E-01,1.748892E-01,2.125667E+03,1.201513E+03,7.215443E-02,1.059419E-01,3.251717E+03,1.966802E+03,1.103777E-01,1.734201E-01,2.148186E+03,1.314703E+03,7.291883E-02,1.159223E-01
00:07:00,1.078601E+03,2.489060E+03,3.661304E-02,2.194672E-01,3.492733E+03,1.982049E+03,1.185588E-01,1.747645E-01,2.125667E+03,1.200606E+03,7.215444E-02,1.058620E-01,3.251717E+03,1.965437E+03,1.103777E-01,1.732998E-01,2.148186E+03,1.313331E+03,7.291883E-02,1.158013E-01
00:08:00,1.078601E+03,2.488444E+03,3.661304E-02,2.194129E-01,3.492734E+03,1.980639E+03,1.185588E-01,1.746402E-01,2.125667E+03,1.199702E+03,7.215444E-02,1.057823E-01,3.251717E+03,1.964077E+03,1.103777E-01,1.731799E-01,2.148186E+03,1.311964E+03,7.291884E-02,1.156808E-01
00:09:00,1.078601E+03,2.487829E+03,3.661304E-02,2.193587E-01,3.492734E+03,1.979233E+03,1.185588E-01,1.745162E-01,2.125668E+03,1.198801E+03,7.215445E-02,1.057028E-01,3.251717E+03,1.962722E+03,1.103777E-01,1.730604E-01,2.148187E+03,1.310602E+03,7.291884E-02,1.155607E-01
00:10:00,1.078601E+03,2.487217E+03,3.661304E-02,2.193047E-01,3.492734E+03,1.977831E+03,1.185589E-01,1.743926E-01,2.125668E+03,1.197903E+03,7.215445E-02,1.056236E-01,3.251718E+03,1.961371E+03,1.103777E-01,1.729413E-01,2.148187E+03,1.309246E+03,7.291884E-02,1.154412E-01
